kind,level,title,patches,health,damage,speed,cap,agro,spawn,attack,agro_range,deagro_range,spawn_min,spawn_max,flyer_ceiling,engage_min,engage_max,standoff_min,standoff_max,shot_speed,shot_ball,shot_hit,aim_seconds,charge_from,charge_mul,ram_top,ram_accel,fire,xp,notes
threnody,1,Threnody,Long Shore 4;Far Beacon 4,220,20,28,1,leash,ahead,column,96,220,90,240,28,40,90,50,70,0,0,0,0,0,0,0,0,4.50,48,Six-winged cursed giant on the castle and office grounds. One per pack. Drops shock columns.
threnody,2,Threnody,Long Shore 4;Far Beacon 4,280,26,30,1,leash,ahead,column,100,230,90,240,32,42,96,54,76,0,0,0,0,0,0,0,0,4.20,72,Tougher cursed giant. Still only around Stormwatch and Meridian Tower.
threnody,3,Threnody,Long Shore 4;Far Beacon 4,350,32,32,1,leash,ahead,column,104,240,90,240,36,44,102,58,82,0,0,0,0,0,0,0,0,3.90,100,Late castle and office tiles still field only one Threnody.
threnody,4,Threnody,Long Shore 4;Far Beacon 4,430,40,34,1,leash,ahead,column,108,250,90,240,40,46,108,62,88,0,0,0,0,0,0,0,0,3.60,136,Hard-patch Threnody on the castle and office grounds. Columns drop a bit sooner.
gruk,1,Gruk,,70,14,8.5,0,leash,garrison,swing,48,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80,12,Castle bruiser. Charges and swings. Preset pad. Does not respawn.
gruk,2,Gruk,,88,17,9.0,0,leash,garrison,swing,50,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,20,Tougher castle bruiser. Still a one-shot garrison pad.
gruk,3,Gruk,,110,21,9.5,0,leash,garrison,swing,52,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,30,Harder Gruk. Castle pads do not refill.
gruk,4,Gruk,,138,26,10.0,0,leash,garrison,swing,54,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,42,Late-tile Gruk. Same charge and swing.
nix,1,Nix,,48,10,11.0,0,leash,garrison,swing,48,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70,10,Smaller castle runner. Charges and swings. Does not respawn.
nix,2,Nix,,60,12,11.5,0,leash,garrison,swing,50,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,16,Quicker Nix. Still a one-shot pad.
nix,3,Nix,,76,15,12.0,0,leash,garrison,swing,52,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,24,Harder Nix. Castle pads stay empty after a kill.
nix,4,Nix,,96,18,12.5,0,leash,garrison,swing,54,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,34,Late-tile Nix. Same melee rush.
vex,1,Vex,,52,16,7.0,0,leash,garrison,mortar,70,110,0,0,0,14,36,18,28,16,0.42,1.15,0,0,0,0,0,1.85,14,Holds the back line and lobs a red mortar from his staff. Does not respawn.
vex,2,Vex,,64,19,7.2,0,leash,garrison,mortar,72,115,0,0,0,14,38,18,30,17,0.40,1.10,0,0,0,0,0,1.70,22,Same staff mortar. Hits a bit harder.
vex,3,Vex,,80,23,7.4,0,leash,garrison,mortar,74,120,0,0,0,13,40,17,32,18,0.38,1.05,0,0,0,0,0,1.55,32,Harder Vex. Pads stay empty after a kill.
vex,4,Vex,,100,28,7.6,0,leash,garrison,mortar,76,125,0,0,0,12,42,16,34,19,0.36,1.00,0,0,0,0,0,1.40,44,Late-tile Vex. Red mortars from the staff tip.
